date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:55:22	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Sep%202020%2008:55:21%20GMT	https://pastel.etherrich.com/mainpage/css/owl.video.play.png	C:/My%20Web%20Sites/riri/pastel.etherrich.com/mainpage/css/owl.video.play.43.delayed	(from https://pastel.etherrich.com/mainpage/css/owl.carousel.min.css)
17:55:22	10698/10698	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2204e2363854bd61:0%22	https://pastel.etherrich.com/assets/plugins/global/fonts/keenthemes-icons/Ki.eot	C:/My%20Web%20Sites/riri/pastel.etherrich.com/assets/plugins/global/fonts/keenthemes-icons/Ki.eot	(from https://pastel.etherrich.com/assets/plugins/global/plugins.bundle.css?v=7.0.5)
17:55:23	10698/10698	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2204e2363854bd61:0%22	https://pastel.etherrich.com/assets/plugins/global/fonts/keenthemes-icons/Ki.eot?	C:/My%20Web%20Sites/riri/pastel.etherrich.com/assets/plugins/global/fonts/keenthemes-icons/Kid41d.eot	(from https://pastel.etherrich.com/assets/plugins/global/plugins.bundle.css?v=7.0.5)
17:55:23	5628/5628	---M--	200	added ('OK')	font/x-woff	etag:%2280e4bb63854bd61:0%22	https://pastel.etherrich.com/assets/plugins/global/fonts/keenthemes-icons/Ki.woff	C:/My%20Web%20Sites/riri/pastel.etherrich.com/assets/plugins/global/fonts/keenthemes-icons/Ki.woff	(from https://pastel.etherrich.com/assets/plugins/global/plugins.bundle.css?v=7.0.5)
17:55:23	10520/10520	---M--	200	added ('OK')	application/octet-stream	etag:%2280e4bb63854bd61:0%22	https://pastel.etherrich.com/assets/plugins/global/fonts/keenthemes-icons/Ki.ttf	C:/My%20Web%20Sites/riri/pastel.etherrich.com/assets/plugins/global/fonts/keenthemes-icons/Ki.ttf	(from https://pastel.etherrich.com/assets/plugins/global/plugins.bundle.css?v=7.0.5)
17:55:23	52385/52385	---M--	200	added ('OK')	image/svg+xml	etag:%2204e2363854bd61:0%22	https://pastel.etherrich.com/assets/plugins/global/fonts/keenthemes-icons/Ki.svg	C:/My%20Web%20Sites/riri/pastel.etherrich.com/assets/plugins/global/fonts/keenthemes-icons/Ki.svg	(from https://pastel.etherrich.com/assets/plugins/global/plugins.bundle.css?v=7.0.5)
17:55:24	12072/12072	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228011ed64854bd61:0%22	https://pastel.etherrich.com/assets/plugins/global/fonts/summernote/summernote.eot	C:/My%20Web%20Sites/riri/pastel.etherrich.com/assets/plugins/global/fonts/summernote/summernote.eot	(from https://pastel.etherrich.com/assets/plugins/global/plugins.bundle.css?v=7.0.5)
17:55:24	12072/12072	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228011ed64854bd61:0%22	https://pastel.etherrich.com/assets/plugins/global/fonts/summernote/summernote.eot?	C:/My%20Web%20Sites/riri/pastel.etherrich.com/assets/plugins/global/fonts/summernote/summernoted41d.eot	(from https://pastel.etherrich.com/assets/plugins/global/plugins.bundle.css?v=7.0.5)
17:55:24	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Sep%202020%2008:55:23%20GMT	https://pastel.etherrich.com/assets/plugins/global/fonts/summernote/summernote.woff2	C:/My%20Web%20Sites/riri/pastel.etherrich.com/assets/plugins/global/fonts/summernote/summernote.4b.delayed	(from https://pastel.etherrich.com/assets/plugins/global/plugins.bundle.css?v=7.0.5)
17:55:24	7428/7428	---M--	200	added ('OK')	font/x-woff	etag:%228011ed64854bd61:0%22	https://pastel.etherrich.com/assets/plugins/global/fonts/summernote/summernote.woff	C:/My%20Web%20Sites/riri/pastel.etherrich.com/assets/plugins/global/fonts/summernote/summernote.woff	(from https://pastel.etherrich.com/assets/plugins/global/plugins.bundle.css?v=7.0.5)
17:55:25	11896/11896	---M--	200	added ('OK')	application/octet-stream	etag:%228011ed64854bd61:0%22	https://pastel.etherrich.com/assets/plugins/global/fonts/summernote/summernote.ttf	C:/My%20Web%20Sites/riri/pastel.etherrich.com/assets/plugins/global/fonts/summernote/summernote.ttf	(from https://pastel.etherrich.com/assets/plugins/global/plugins.bundle.css?v=7.0.5)
17:55:25	156260/156260	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2280e4bb63854bd61:0%22	https://pastel.etherrich.com/assets/plugins/global/fonts/line-awesome/la-brands-400.eot	C:/My%20Web%20Sites/riri/pastel.etherrich.com/assets/plugins/global/fonts/line-awesome/la-brands-400.eot	(from https://pastel.etherrich.com/assets/plugins/global/plugins.bundle.css?v=7.0.5)
17:55:25	156260/156260	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2280e4bb63854bd61:0%22	https://pastel.etherrich.com/assets/plugins/global/fonts/line-awesome/la-brands-400.eot?	C:/My%20Web%20Sites/riri/pastel.etherrich.com/assets/plugins/global/fonts/line-awesome/la-brands-400d41d.eot	(from https://pastel.etherrich.com/assets/plugins/global/plugins.bundle.css?v=7.0.5)
17:55:25	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Sep%202020%2008:55:26%20GMT	https://pastel.etherrich.com/assets/plugins/global/fonts/line-awesome/la-brands-400.woff2	C:/My%20Web%20Sites/riri/pastel.etherrich.com/assets/plugins/global/fonts/line-awesome/la-brands-400.50.delayed	(from https://pastel.etherrich.com/assets/plugins/global/plugins.bundle.css?v=7.0.5)
17:55:26	98673/98673	---M--	200	added ('OK')	font/x-woff	etag:%2280e4bb63854bd61:0%22	https://pastel.etherrich.com/assets/plugins/global/fonts/line-awesome/la-brands-400.woff	C:/My%20Web%20Sites/riri/pastel.etherrich.com/assets/plugins/global/fonts/line-awesome/la-brands-400.woff	(from https://pastel.etherrich.com/assets/plugins/global/plugins.bundle.css?v=7.0.5)
17:55:26	156072/156072	---M--	200	added ('OK')	application/octet-stream	etag:%2280e4bb63854bd61:0%22	https://pastel.etherrich.com/assets/plugins/global/fonts/line-awesome/la-brands-400.ttf	C:/My%20Web%20Sites/riri/pastel.etherrich.com/assets/plugins/global/fonts/line-awesome/la-brands-400.ttf	(from https://pastel.etherrich.com/assets/plugins/global/plugins.bundle.css?v=7.0.5)
17:55:26	927335/927335	---M--	200	added ('OK')	image/svg+xml	etag:%2280e4bb63854bd61:0%22	https://pastel.etherrich.com/assets/plugins/global/fonts/line-awesome/la-brands-400.svg	C:/My%20Web%20Sites/riri/pastel.etherrich.com/assets/plugins/global/fonts/line-awesome/la-brands-400.svg	(from https://pastel.etherrich.com/assets/plugins/global/plugins.bundle.css?v=7.0.5)
